Cell,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",1,0,0,1
"(3, 1)",0,0,1,1
"(4, 1)",1,0,1,0
"(5, 1)",1,0,0,1
"(6, 1)",0,0,1,1
"(7, 1)",0,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",0,0,1,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,0
"(15, 1)",1,0,0,0
"(16, 1)",1,0,0,1
"(17, 1)",1,0,1,1
"(18, 1)",0,0,1,1
"(19, 1)",1,0,1,0
"(20, 1)",0,0,0,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",1,0,1,0
"(24, 1)",0,0,0,1
"(25, 1)",1,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",0,0,1,1
"(30, 1)",1,0,1,0
"(31, 1)",1,0,0,1
"(32, 1)",0,0,1,0
"(33, 1)",1,0,0,1
"(34, 1)",1,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",0,0,1,0
"(37, 1)",1,0,0,1
"(38, 1)",0,0,1,1
"(39, 1)",1,0,1,1
"(40, 1)",1,0,1,0
"(41, 1)",0,0,0,1
"(42, 1)",0,0,1,1
"(43, 1)",1,0,1,1
"(44, 1)",0,0,1,1
"(45, 1)",1,0,1,0
"(46, 1)",1,0,0,0
"(47, 1)",1,0,0,1
"(48, 1)",1,0,1,1
"(49, 1)",0,0,1,1
"(50, 1)",1,0,1,0
"(51, 1)",1,0,0,1
"(52, 1)",1,0,1,0
"(53, 1)",1,0,0,1
"(54, 1)",0,0,1,1
"(55, 1)",0,0,1,1
"(56, 1)",1,0,1,1
"(57, 1)",0,0,1,1
"(58, 1)",1,0,1,0
"(59, 1)",0,0,0,1
"(60, 1)",1,0,1,1
"(61, 1)",1,0,1,1
"(62, 1)",0,0,1,1
"(63, 1)",0,0,1,1
"(64, 1)",0,0,1,1
"(65, 1)",0,0,1,1
"(66, 1)",0,0,1,1
"(67, 1)",0,0,1,1
"(68, 1)",1,0,1,0
"(69, 1)",0,0,0,1
"(70, 1)",1,0,1,0
"(1, 2)",0,1,0,1
"(2, 2)",0,1,1,0
"(3, 2)",1,0,0,1
"(4, 2)",0,1,1,0
"(5, 2)",1,1,0,0
"(6, 2)",1,0,0,1
"(7, 2)",0,0,1,1
"(8, 2)",1,0,1,0
"(9, 2)",0,1,0,0
"(10, 2)",1,0,0,1
"(11, 2)",1,0,1,0
"(12, 2)",1,0,0,1
"(13, 2)",0,1,1,0
"(14, 2)",1,1,0,0
"(15, 2)",1,1,0,1
"(16, 2)",0,1,1,0
"(17, 2)",1,1,0,0
"(18, 2)",1,0,0,0
"(19, 2)",0,1,0,1
"(20, 2)",0,0,1,1
"(21, 2)",0,0,1,1
"(22, 2)",0,1,1,0
"(23, 2)",0,1,0,1
"(24, 2)",0,0,1,1
"(25, 2)",0,1,1,0
"(26, 2)",1,0,0,0
"(27, 2)",0,1,0,1
