Cell,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",1,0,1,1
"(3, 1)",0,0,0,0
"(4, 1)",0,0,0,0
"(5, 1)",0,0,0,0
"(6, 1)",1,0,0,1
"(7, 1)",1,0,1,1
"(8, 1)",0,0,0,0
"(9, 1)",0,0,0,0
"(10, 1)",0,0,0,0
"(11, 1)",0,0,0,0
"(12, 1)",0,0,0,0
"(13, 1)",0,0,0,0
"(14, 1)",1,0,0,1
"(15, 1)",1,0,1,1
"(16, 1)",0,0,0,0
"(17, 1)",0,0,0,0
"(18, 1)",0,0,0,0
"(19, 1)",1,0,1,1
"(20, 1)",1,0,1,1
"(21, 1)",0,0,1,1
"(22, 1)",1,0,1,0
"(23, 1)",1,0,0,1
"(24, 1)",0,0,1,1
"(25, 1)",0,0,0,0
"(26, 1)",0,0,0,0
"(27, 1)",0,0,0,0
"(28, 1)",1,0,1,0
"(29, 1)",0,0,0,0
"(30, 1)",0,0,0,0
"(31, 1)",0,0,0,0
"(32, 1)",0,0,0,0
"(33, 1)",0,0,0,0
"(34, 1)",0,0,0,0
"(35, 1)",0,0,1,1
"(36, 1)",0,0,1,1
"(37, 1)",1,0,1,1
"(38, 1)",1,0,1,1
"(39, 1)",0,0,0,0
"(40, 1)",0,0,0,0
"(41, 1)",0,0,0,0
"(42, 1)",0,0,0,0
"(43, 1)",0,0,1,1
"(44, 1)",0,0,0,0
"(45, 1)",0,0,1,1
"(46, 1)",1,0,1,0
"(47, 1)",0,0,0,0
"(48, 1)",0,0,0,0
"(49, 1)",0,0,1,1
"(50, 1)",1,0,1,1
"(51, 1)",0,0,0,0
"(52, 1)",0,0,0,0
"(53, 1)",1,0,1,0
"(54, 1)",0,0,0,1
"(55, 1)",1,0,1,1
"(56, 1)",1,0,1,0
"(57, 1)",0,0,0,0
"(58, 1)",0,0,0,0
"(59, 1)",0,0,0,0
"(60, 1)",0,0,0,0
"(61, 1)",0,0,1,1
"(62, 1)",0,0,0,0
"(63, 1)",0,0,0,0
"(64, 1)",0,0,1,1
"(65, 1)",0,0,0,0
"(66, 1)",1,0,0,1
"(67, 1)",0,0,0,0
"(68, 1)",0,0,0,1
"(69, 1)",0,0,0,0
"(70, 1)",0,0,0,0
"(1, 2)",1,0,0,1
