  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",1,0,1,0
"(4, 1)",1,0,0,1
"(5, 1)",1,0,1,0
"(6, 1)",1,0,0,0
"(7, 1)",1,0,0,1
"(8, 1)",0,0,1,1
"(9, 1)",1,0,1,1
"(10, 1)",0,0,1,1
"(11, 1)",1,0,1,0
"(12, 1)",0,0,0,1
"(13, 1)",1,0,1,1
"(14, 1)",1,0,1,0
"(15, 1)",1,0,0,1
"(16, 1)",1,0,1,0
"(17, 1)",1,0,0,1
"(18, 1)",1,0,1,0
"(19, 1)",1,0,0,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,0
"(22, 1)",1,0,0,1
"(23, 1)",0,0,1,1
"(24, 1)",0,0,1,1
"(25, 1)",1,0,1,1
"(26, 1)",1,0,1,0
"(27, 1)",0,0,0,1
"(28, 1)",1,0,1,1
"(29, 1)",1,0,1,0
"(30, 1)",1,0,0,0
"(1, 2)",1,0,0,1
"(2, 2)",0,0,1,0
"(3, 2)",0,1,0,1
"(4, 2)",0,1,1,0
"(5, 2)",1,1,0,1
"(6, 2)",1,1,1,0
"(7, 2)",0,1,0,1
"(8, 2)",1,0,1,0
"(9, 2)",0,1,0,1
"(10, 2)",1,0,1,0
"(11, 2)",0,1,0,1
"(12, 2)",0,0,1,1
"(13, 2)",0,1,1,0
"(14, 2)",1,1,0,0
"(15, 2)",0,1,0,0
"(16, 2)",0,1,0,1
"(17, 2)",0,1,1,0
"(18, 2)",0,1,0,1
"(19, 2)",0,1,1,1
"(20, 2)",1,0,1,1
"(21, 2)",0,1,1,1
"(22, 2)",0,1,1,1
"(23, 2)",1,0,1,0
"(24, 2)",1,0,0,1
"(25, 2)",0,1,1,0
"(26, 2)",1,1,0,0
"(27, 2)",1,0,0,1
"(28, 2)",1,1,1,0
"(29, 2)",1,1,0,0
"(30, 2)",1,1,0,0
"(1, 3)",1,1,0,1
"(2, 3)",1,0,1,1
"(3, 3)",0,0,1,1
"(4, 3)",0,0,1,1
"(5, 3)",0,1,1,0
"(6, 3)",1,1,0,1
"(7, 3)",0,0,1,1
"(8, 3)",0,1,1,0
"(9, 3)",1,0,0,1
"(10, 3)",0,1,1,0
"(11, 3)",1,0,0,1
"(12, 3)",0,0,1,1
"(13, 3)",0,0,1,0
"(14, 3)",0,1,0,1
"(15, 3)",1,0,1,0
"(16, 3)",1,0,0,1
"(17, 3)",0,0,1,1
"(18, 3)",1,0,1,0
"(19, 3)",1,0,0,0
"(20, 3)",1,1,0,0
"(21, 3)",1,0,0,1
"(22, 3)",0,0,1,0
"(23, 3)",1,1,0,1
"(24, 3)",0,1,1,0
"(25, 3)",1,0,0,0
"(26, 3)",1,1,0,0
"(27, 3)",1,1,0,0
"(28, 3)",1,1,0,1
"(29, 3)",0,1,1,0
"(30, 3)",1,1,0,0
"(1, 4)",1,1,0,0
"(2, 4)",0,1,0,1
"(3, 4)",0,0,1,1
"(4, 4)",1,0,1,0
"(5, 4)",0,0,0,1
"(6, 4)",1,1,1,1
"(7, 4)",0,0,1,1
"(8, 4)",0,0,1,1
"(9, 4)",0,1,1,0
"(10, 4)",1,0,0,1
"(11, 4)",0,1,1,1
"(12, 4)",0,0,1,1
"(13, 4)",1,0,1,1
"(14, 4)",0,0,1,1
"(15, 4)",0,1,1,1
"(16, 4)",0,1,1,0
"(17, 4)",1,0,0,1
"(18, 4)",0,1,1,0
"(19, 4)",1,1,0,0
"(20, 4)",1,1,0,1
"(21, 4)",0,1,1,0
"(22, 4)",1,0,0,1
"(23, 4)",0,1,1,0
"(24, 4)",1,0,0,1
"(25, 4)",0,1,1,0
"(26, 4)",1,1,0,0
"(27, 4)",1,1,0,0
"(28, 4)",1,1,0,1
"(29, 4)",0,0,1,1
"(30, 4)",1,1,1,0
"(1, 5)",1,1,0,1
"(2, 5)",1,0,1,0
"(3, 5)",1,0,0,0
"(4, 5)",0,1,0,1
"(5, 5)",0,0,1,1
"(6, 5)",0,1,1,0
"(7, 5)",1,0,0,1
"(8, 5)",0,0,1,1
"(9, 5)",0,0,1,1
"(10, 5)",0,1,1,0
"(11, 5)",0,0,0,1
"(12, 5)",1,0,1,0
"(13, 5)",0,1,0,1
"(14, 5)",0,0,1,1
"(15, 5)",1,0,1,0
"(16, 5)",1,0,0,1
"(17, 5)",0,1,1,0
"(18, 5)",1,0,0,1
"(19, 5)",0,1,1,1
"(20, 5)",0,1,1,0
"(21, 5)",1,0,0,1
"(22, 5)",0,1,1,0
"(23, 5)",1,0,0,1
"(24, 5)",0,1,1,1
"(25, 5)",0,0,1,1
"(26, 5)",0,1,1,0
"(27, 5)",1,1,0,0
"(28, 5)",1,1,0,0
"(29, 5)",1,0,0,1
"(30, 5)",1,1,1,0
"(1, 6)",1,1,0,0
"(2, 6)",1,1,0,1
"(3, 6)",0,1,1,1
"(4, 6)",0,0,1,1
"(5, 6)",1,0,1,1
"(6, 6)",0,0,1,0
"(7, 6)",1,1,0,0
"(8, 6)",1,0,0,1
"(9, 6)",0,0,1,1
"(10, 6)",0,0,1,1
"(11, 6)",0,0,1,1
"(12, 6)",0,1,1,1
"(13, 6)",1,0,1,0
"(14, 6)",1,0,0,0
"(15, 6)",1,1,0,0
"(16, 6)",1,1,0,0
"(17, 6)",0,0,0,1
"(18, 6)",1,1,1,1
"(19, 6)",1,0,1,1
"(20, 6)",0,0,1,1
"(21, 6)",0,1,1,0
"(22, 6)",1,0,0,0
