  cell  ,E,W,N,S
"(1, 1)",1,0,0,0
"(2, 1)",0,0,0,1
"(3, 1)",1,0,1,1
"(4, 1)",1,0,1,0
"(5, 1)",0,0,0,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,1
"(8, 1)",0,0,1,1
"(9, 1)",0,0,1,1
"(10, 1)",1,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,0
"(13, 1)",1,0,0,1
"(14, 1)",0,0,1,1
"(15, 1)",0,0,1,1
"(16, 1)",0,0,1,1
"(17, 1)",1,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",0,0,1,1
"(20, 1)",0,0,1,1
"(21, 1)",1,0,1,1
"(22, 1)",1,0,1,1
"(23, 1)",0,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",1,0,1,1
"(27, 1)",1,0,1,0
"(28, 1)",1,0,0,1
"(29, 1)",1,0,1,1
"(30, 1)",0,0,1,0
"(1, 2)",1,1,0,1
"(2, 2)",1,0,1,0
"(3, 2)",1,1,0,0
"(4, 2)",0,1,0,1
"(5, 2)",0,0,1,1
"(6, 2)",1,1,1,0
"(7, 2)",1,1,0,0
"(8, 2)",1,0,0,1
"(9, 2)",1,0,1,0
"(10, 2)",0,1,0,1
"(11, 2)",1,0,1,1
"(12, 2)",1,1,1,0
"(13, 2)",1,1,0,0
"(14, 2)",1,0,0,0
"(15, 2)",1,0,0,1
"(16, 2)",1,0,1,1
"(17, 2)",0,1,1,0
"(18, 2)",0,1,0,1
"(19, 2)",0,0,1,1
"(20, 2)",0,0,1,1
"(21, 2)",1,1,1,0
"(22, 2)",1,1,0,1
"(23, 2)",0,0,1,1
"(24, 2)",1,1,1,1
"(25, 2)",0,0,1,0
"(26, 2)",1,1,0,0
"(27, 2)",1,1,0,0
"(28, 2)",1,1,0,0
"(29, 2)",0,1,0,1
"(30, 2)",1,0,1,0
"(1, 3)",1,1,0,0
"(2, 3)",1,1,0,0
"(3, 3)",1,1,0,1
"(4, 3)",1,0,1,0
"(5, 3)",1,0,0,1
"(6, 3)",0,1,1,0
"(7, 3)",1,1,0,0
"(8, 3)",1,1,0,0
"(9, 3)",1,1,0,1
"(10, 3)",0,0,1,1
"(11, 3)",0,1,1,0
"(12, 3)",0,1,0,1
"(13, 3)",0,1,1,1
"(14, 3)",1,1,1,1
"(15, 3)",1,1,1,0
"(16, 3)",1,1,0,0
"(17, 3)",1,0,0,1
"(18, 3)",1,0,1,0
"(19, 3)",1,0,0,1
"(20, 3)",1,0,1,0
"(21, 3)",1,1,0,0
"(22, 3)",1,1,0,1
"(23, 3)",1,0,1,1
"(24, 3)",1,1,1,0
"(25, 3)",1,0,0,1
"(26, 3)",0,1,1,0
"(27, 3)",1,1,0,0
"(28, 3)",0,1,0,1
"(29, 3)",1,0,1,1
"(30, 3)",0,1,1,0
"(1, 4)",1,1,0,1
"(2, 4)",0,1,1,0
"(3, 4)",0,1,0,0
"(4, 4)",1,1,0,0
"(5, 4)",1,1,0,1
"(6, 4)",0,0,1,1
"(7, 4)",0,1,1,1
"(8, 4)",0,1,1,0
"(9, 4)",0,1,0,0
"(10, 4)",1,0,0,1
"(11, 4)",0,0,1,1
"(12, 4)",0,0,1,1
"(13, 4)",0,0,1,1
"(14, 4)",0,1,1,0
"(15, 4)",0,1,0,1
"(16, 4)",1,1,1,0
"(17, 4)",1,1,0,0
"(18, 4)",0,1,0,1
"(19, 4)",1,1,1,0
"(20, 4)",1,1,0,1
"(21, 4)",0,1,1,0
"(22, 4)",1,1,0,0
"(23, 4)",1,1,0,0
"(24, 4)",0,1,0,0
