  cell  ,E,W,N,S
"(1, 1)",0,0,0,1
"(2, 1)",0,0,1,1
"(3, 1)",0,0,1,1
"(4, 1)",1,0,1,0
"(5, 1)",1,0,0,1
"(6, 1)",1,0,1,1
"(7, 1)",1,0,1,1
"(8, 1)",1,0,1,0
"(9, 1)",1,0,0,1
"(10, 1)",0,0,1,1
"(11, 1)",0,0,1,1
"(12, 1)",1,0,1,1
"(13, 1)",1,0,1,0
"(14, 1)",1,0,0,0
"(15, 1)",1,0,0,1
"(16, 1)",1,0,1,1
"(17, 1)",0,0,1,1
"(18, 1)",1,0,1,1
"(19, 1)",1,0,1,0
"(20, 1)",0,0,0,1
"(21, 1)",1,0,1,1
"(22, 1)",0,0,1,1
"(23, 1)",1,0,1,1
"(24, 1)",1,0,1,1
"(25, 1)",0,0,1,1
"(26, 1)",0,0,1,1
"(27, 1)",0,0,1,1
"(28, 1)",0,0,1,1
"(29, 1)",1,0,1,1
"(30, 1)",1,0,1,1
"(31, 1)",0,0,1,1
"(32, 1)",1,0,1,0
"(33, 1)",1,0,0,1
"(34, 1)",0,0,1,1
"(35, 1)",0,0,1,1
"(36, 1)",1,0,1,1
"(37, 1)",0,0,1,1
"(38, 1)",0,0,1,1
"(39, 1)",1,0,1,0
"(40, 1)",1,0,0,1
"(41, 1)",0,0,1,1
"(42, 1)",0,0,1,1
"(43, 1)",1,0,1,1
"(44, 1)",1,0,1,1
"(45, 1)",1,0,1,0
"(46, 1)",1,0,0,0
"(47, 1)",1,0,0,1
"(48, 1)",1,0,1,1
"(49, 1)",0,0,1,1
"(50, 1)",1,0,1,1
"(51, 1)",0,0,1,1
"(52, 1)",1,0,1,1
"(53, 1)",0,0,1,1
"(54, 1)",0,0,1,1
"(55, 1)",1,0,1,1
"(56, 1)",1,0,1,0
"(57, 1)",1,0,0,1
"(58, 1)",0,0,1,1
"(59, 1)",1,0,1,1
"(60, 1)",1,0,1,0
"(61, 1)",1,0,0,1
"(62, 1)",0,0,1,1
"(63, 1)",1,0,1,1
"(64, 1)",0,0,1,1
"(65, 1)",1,0,1,1
"(66, 1)",1,0,1,0
"(67, 1)",1,0,0,1
"(68, 1)",0,0,1,1
"(69, 1)",1,0,1,1
"(70, 1)",0,0,1,0
"(1, 2)",1,0,0,1
"(2, 2)",0,0,1,1
"(3, 2)",0,0,1,1
"(4, 2)",0,1,1,1
"(5, 2)",0,1,1,0
"(6, 2)",1,1,0,0
"(7, 2)",0,1,0,0
"(8, 2)",0,1,0,1
"(9, 2)",0,1,1,1
"(10, 2)",0,0,1,1
"(11, 2)",1,0,1,0
"(12, 2)",1,1,0,0
"(13, 2)",0,1,0,1
"(14, 2)",0,1,1,0
"(15, 2)",1,1,0,0
"(16, 2)",0,1,0,1
"(17, 2)",0,0,1,1
"(18, 2)",1,1,1,0
"(19, 2)",0,1,0,1
"(20, 2)",0,0,1,1
"(21, 2)",0,1,1,1
"(22, 2)",1,0,1,0
"(23, 2)",0,1,0,0
"(24, 2)",0,1,0,1
"(25, 2)",1,0,1,1
"(26, 2)",1,0,1,1
"(27, 2)",1,0,1,1
"(28, 2)",1,0,1,1
"(29, 2)",0,1,1,0
"(30, 2)",0,1,0,1
"(31, 2)",1,0,1,0
"(32, 2)",0,1,0,0
"(33, 2)",0,1,0,1
"(34, 2)",0,0,1,1
"(35, 2)",0,0,1,1
"(36, 2)",1,1,1,0
"(37, 2)",1,0,0,1
"(38, 2)",1,0,1,0
"(39, 2)",0,1,0,1
"(40, 2)",0,1,1,0
"(41, 2)",1,0,0,1
"(42, 2)",1,0,1,1
"(43, 2)",1,1,1,0
"(44, 2)",1,1,0,0
"(45, 2)",1,1,0,1
"(46, 2)",0,1,1,0
"(47, 2)",1,1,0,0
"(48, 2)",1,1,0,1
"(49, 2)",0,0,1,1
"(50, 2)",0,1,1,1
"(51, 2)",0,0,1,1
"(52, 2)",0,1,1,1
"(53, 2)",1,0,1,1
"(54, 2)",1,0,1,0
"(55, 2)",1,1,0,0
"(56, 2)",1,1,0,1
"(57, 2)",0,1,1,0
"(58, 2)",1,0,0,1
"(59, 2)",1,1,1,0
"(60, 2)",0,1,0,1
"(61, 2)",1,1,1,1
"(62, 2)",1,0,1,0
"(63, 2)",1,1,0,0
"(64, 2)",1,0,0,1
"(65, 2)",1,1,1,0
"(66, 2)",1,1,0,1
"(67, 2)",0,1,1,0
"(68, 2)",1,0,0,1
"(69, 2)",0,1,1,1
"(70, 2)",1,0,1,0
"(1, 3)",1,1,0,1
"(2, 3)",0,0,1,1
"(3, 3)",0,0,1,1
"(4, 3)",0,0,1,1
"(5, 3)",1,0,1,0
"(6, 3)",1,1,0,0
"(7, 3)",1,0,0,1
"(8, 3)",0,0,1,1
"(9, 3)",1,0,1,0
"(10, 3)",0,0,0,1
"(11, 3)",0,1,1,0
"(12, 3)",0,1,0,1
"(13, 3)",1,0,1,0
"(14, 3)",1,0,0,1
"(15, 3)",0,1,1,0
"(16, 3)",1,0,0,1
"(17, 3)",1,0,1,0
"(18, 3)",1,1,0,1
"(19, 3)",1,0,1,1
"(20, 3)",0,0,1,1
"(21, 3)",0,0,1,0
"(22, 3)",0,1,0,1
"(23, 3)",1,0,1,1
"(24, 3)",1,0,1,0
"(25, 3)",1,1,0,0
"(26, 3)",1,1,0,0
"(27, 3)",0,1,0,0
"(28, 3)",1,1,0,0
"(29, 3)",1,0,0,1
"(30, 3)",1,0,1,1
"(31, 3)",0,1,1,0
"(32, 3)",1,0,0,1
