Gender,Age_as_of_Academic_Year_1718,Current_Year_1718,Proposed_YearGrade_1819,Previous_Curriculum_17182,Current_School,Current_Curriculum,Previous_yearGrade,Mathexam,Scienceexam_,Englishexam_,Math191_,Science191_,English191_,Math192_,Science192_,English192_,Math193_,Science193_,English193_,Math201_,Science201_,English201_,Math202_,Science202_,English202_,Math203_,Science203_,English203_,average,class
1,4,13,13,0,0,0,0,81.0,59.0,65.0,88.0,82.0,90.0,84.0,86.0,85.0,83.0,52,70.0,64.0,62.0,87.0,69.0,98.0,84.0,80.0,98.0,81.0,78.47619047619048,1
1,4,13,13,0,0,0,0,66.0,89.0,67.0,76.0,82.0,57.0,58.0,77.0,74.0,95.0,62,60.0,60.0,84.0,89.0,74.0,96.0,70.0,82.0,71.0,99.0,75.61904761904762,1
1,4,13,13,0,0,0,0,90.0,55.0,87.0,81.0,69.0,73.0,70.0,75.0,80.0,84.0,65,71.0,84.0,72.0,88.0,93.0,84.0,74.0,91.0,85.0,86.0,78.9047619047619,1
0,4,13,13,0,0,0,0,84.0,73.0,83.0,52.0,62.0,73.0,71.0,63.0,82.0,59.0,68,93.0,66.0,83.0,95.0,85.0,99.0,75.0,73.0,84.0,85.0,76.57142857142857,1
1,3,13,13,0,0,0,0,85.0,52.0,69.0,52.0,77.0,57.0,81.0,57.0,94.0,69.0,70,58.0,70.0,61.0,85.0,97.0,82.0,75.0,82.0,86.0,69.0,72.76190476190476,1
0,4,13,13,0,0,0,0,77.0,86.0,67.0,61.0,89.0,55.0,92.0,87.0,59.0,80.0,51,88.0,78.0,81.0,71.0,87.0,85.0,85.0,71.0,78.0,69.0,76.04761904761905,1
0,4,13,13,0,0,0,0,69.0,66.0,61.0,82.0,82.0,50.0,91.0,77.0,55.0,54.0,73,79.0,67.0,94.0,77.0,95.0,73.0,87.0,72.0,74.0,78.0,74.0952380952381,1
0,4,13,13,0,0,0,0,92.0,87.0,99.0,82.0,86.0,69.0,65.0,66.0,73.0,93.0,70,80.0,78.0,77.0,76.0,81.0,86.0,82.0,93.0,87.0,83.0,81.19047619047619,0
1,4,13,13,0,0,0,0,79.0,72.0,69.0,92.0,67.0,91.0,81.0,94.0,95.0,57.0,76,56.0,73.0,81.0,69.0,97.0,96.0,79.0,75.0,91.0,99.0,80.42857142857143,0
1,4,13,13,0,0,0,0,55.0,58.0,67.0,59.0,60.0,70.0,45.0,59.0,68.0,67.0,70,62.0,68.0,64.0,72.0,74.0,78.0,65.0,60.0,80.0,82.0,65.85714285714286,1
